Activity,Individuals,Frequency
A0,P173/P156/P88/P250,1
A1,P11/P24/P357/P238/P88/P156,1
A2,P11/P24/P80/P357/P320/P88/P173/P156,1
A3,P42/P250/P357/P238/P336/P88,1
A4,P80/P143/P250/P357/P238/P88,1
A5,P340/P233/P160/P227/P33/P177/P107/P286,12
A6,P227/P152/P380/P107/P151/P127/P274,4
A7,P234/P160/P227/P33/P191/P316/P211/P107,1
A8,P234/P160/P227/P33/P191/P380/P316/P151/P211/P107/P152/P127/P274,1
A9,P227/P152/P380/P194/P323/P107/P151/P127/P274,1
A10,P343/P351/P323/P257/P291,1
A11,P291/P323/P114/P343,4
A12,P343/P351/P323/P257/P291/P36,1
A13,P127/P343/P194/P323/P203/P403/P291/P114,1
A14,P11/P357/P343/P282/P291/P114,1
A15,P297/P101/P143/P124/P241/P78/P343/P109/P351/P397/P291/P278,1
A16,P11/P360/P357/P78/P343/P169/P282/P291/P114/P310,1
A17,P15/P360/P78/P343/P282/P291/P114/P310,4
A18,P15/P360/P291/P114/P310,12
A19,P257/P343/P215,12
A20,P102/P215,1
A21,P124/P257/P215,4
A22,P257/P215/P343,12
A23,P144/P215/P124/P343/P257/P256,12
A24,P257/P215/P9/P343,12
A25,P351/P257/P194,12
A26,P257/P343,12
A27,P168/P215/P255/P343/P257/P36,12
A28,P157/P227/P177/P286/P273,12
A29,P343/P305,12
A30,P215/P322,1
A31,P215/P229,1
A32,P215/P49,1
A33,P332/P71/P215,1
A34,P215/P166,1
A35,P215/P82,1
A36,P76/P215,1
A37,P215/P311,1
A38,P387/P215,1
A39,P334/P257,1
A40,P257/P323,1
A41,P151/P257,4
A42,P257/P185,1
A43,P343/P114,4
A44,P148/P343/P143,4
A45,P174/P343,4
A46,P209/P343,4
A47,P168/P215/P124/P343/P257,4
A48,P215/P255/P227/P343/P425/P267/P257/P36,1
A49,P343/P323,4
A50,P215/P386/P143/P343/P323/P257,4
A51,P194/P143/P254,1
A52,P194/P254,1
A53,P80/P343/P383/P320/P63/P153/P100,1
A54,P257/P343,1
A55,P280/P343/P43/P257,1
A56,P143/P227/P88/P403,1
A57,P144/P215/P254/P343/P194/P323/P257/P273,1
A58,P194/P254,1
A59,P80/P143/P343/P403/P257,1
A60,P80/P95,1
A61,P144/P215/P80/P255/P124/P357/P343/P425/P238/P267/P194/P257/P273/P36,1
A62,P80/P143/P343/P189/P320/P257,1
A63,P343/P194/P95/P215,1
A64,P343/P254,1
A65,P343/P254/P143/P123,1
A66,P11/P24/P181/P25/P357/P227/P343/P351/P323/P299/P403,1
A67,P198/P343/P143/P95,1
A68,P11/P80/P143/P357/P343/P198/P95,1
A69,P144/P215/P254/P343/P194/P323/P174/P257/P273/P94,1
A70,P144/P273,12
A71,P194/P254,1
A72,P11/P24/P168/P215/P254/P166/P357/P343/P238/P268/P194,1
A73,P215/P124/P343/P194/P257,1
A74,P181/P227/P64/P52/P257/P389/P307/P421/P198,1
A75,P168/P166/P227/P357/P238/P307/P181/P64/P389/P421/P403/P24/P52/P194/P11/P215/P254/P124/P343/P177/P268/P257/P198,1
A76,P209/P168/P227/P307/P181/P64/P389/P421/P151/P52/P7/P127/P215/P124/P343/P366/P257/P198/P274,1
A77,P209/P168/P227/P307/P181/P64/P389/P421/P151/P52/P7/P127/P215/P124/P343/P366/P257/P198/P274,1
A78,P181/P227/P64/P52/P389/P307/P421/P198,1
A79,P124/P343/P425/P194/P257/P36,1
A80,P325/P343/P63/P153/P257/P361,1
A81,P257/P343,1
A82,P257/P143,1
A83,P80/P143/P280/P347/P148/P82/P174/P257,1
A84,P215/P255/P227/P124/P343/P425/P194/P403/P257/P36,1
A85,P215/P124/P343/P194/P257/P36,1
A86,P227/P343/P372/P348/P403/P87,4
A87,P255/P166/P227/P357/P134/P340/P22/P353/P148/P60/P403/P425/P114/P95/P24/P143/P43/P189/P194/P273/P36/P11/P80/P124/P343/P267/P286/P257,1
A88,P255/P411/P124/P59/P43/P267/P194/P403/P257,1
A89,P11/P24/P80/P295/P399/P227/P357/P343/P398/P320/P206/P351/P123/P403/P257,1
A90,P377/P80/P391/P143/P343/P261/P148/P41/P291,1
A91,P181/P227/P64/P52/P389/P307/P421/P198,1
A92,P227/P357/P238/P307/P181/P64/P389/P60/P421/P85/P52/P194/P11/P215/P124/P343/P257/P198,1
A93,P11/P317/P215/P168/P80/P357/P343/P259/P257/P146,1
A94,P80/P36/P95,12
A95,P127/P343/P257/P305,45
A96,P127/P343/P305,12
A97,P124/P257/P343/P267,12
A98,P411/P43,12
A99,P257/P343,45
A100,P403/P257/P227,4
A101,P194/P255,12
A102,P215/P255,12
A103,P257/P343,200
A104,P343/P194,45
A105,P168/P166/P254,1
A106,P257/P343/P95,1
A107,P351/P343/P323,1
A108,P144/P215/P124/P343/P257,12
A109,P135/P343,4
A110,P343/P305,4
A111,P166/P227/P174/P153/P340/P237/P320/P403/P143/P129/P259/P169/P273/P11/P80/P150/P124/P343/P351/P257,1
A112,P153/P14/P404,45
A113,P383/P395/P153/P100/P142,45
A114,P325/P383/P113/P428/P34,45
A115,P294/P325/P45,1
A116,P100/P325/P306/P153,1
A117,P153/P325/P14,4
A118,P100/P325/P306/P398/P383/P428/P153/P142,1
A119,P325/P4/P383/P428/P153/P142/P6,12
A120,P1/P325/P0/P153/P251,4
A121,P1/P3/P325/P2/P383/P0/P100,4
A122,P11/P24/P357/P306/P153,1
A123,P100/P153/P383,45
A124,P132/P402/P383/P428/P34/P226/P153/P142,45
A125,P223/P413/P262/P400/P305/P73/P108/P136/P126/P406/P257/P276,1
A126,P257/P73,4
A127,P413/P262/P305/P136/P257/P276,45
A128,P257/P136,1
A129,P351/P67,1
A130,P351/P150,1
A131,P351/P414,12
A132,P297/P264/P192/P351/P339,4
A133,P351/P67,1
A134,P351/P278,1
A135,P351/P46,1
A136,P109/P129/P351/P323/P339,12
A137,P351/P46/P129,1
A138,P351/P129,4
A139,P209/P288/P313/P325/P375/P248/P378/P237/P328/P281/P222/P179/P403/P175/P143/P275/P284/P333/P120/P150/P123,1
A140,P403/P227,12
A141,P25/P170/P18/P227/P403,12
A142,P25/P170/P18/P403,12
A143,P403/P205,12
A144,P403/P227,1
A145,P357/P227/P238/P131/P407/P135/P60/P323/P303/P403/P425/P24/P398/P298/P129/P302/P11/P215/P343/P23/P257,1
A146,P11/P24/P357/P238/P398/P407/P303,1
A147,P351/P323,4
A148,P144/P84/P343/P177/P351/P323/P257/P273,1
A149,P11/P135/P357/P238/P129/P323,1
A150,P351/P129/P323,1
A151,P11/P24/P357/P351/P323,1
A152,P168/P215/P129/P351,1
A153,P167/P227/P177/P157,45
A154,P23/P343/P323,4
A155,P323/P164,1
A156,P351/P323,1
A157,P23/P135/P323/P166,4
A158,P351/P323/P129,12
